Título,Visualizações,Likes,Comentários,Ref,Fundos Citados
KNRI11 - Resumo Mensal do Kinea Renda ref. Outubro.21,44176,229,0, Outubro.21,KNRI11
Fundos de Ações Kinea - Resumo Mensal ref. Outubro.21,27068,34,0, Outubro.21,
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Outubro.21",29746,118,0, Outubro.21,"KNCR11,KNIP11,KNHY11,KNSC11"
Crédito Privado Kinea - Resumo Mensal ref. Outubro.21,30037,26,0, Outubro.21,
Fundos de Ações Kinea - Resumo Mensal ref. Setembro.21,31598,36,0, Setembro.21,
Fundos Multimercados Kinea - Resumo Mensal ref. Outubro.21,31576,51,0, Outubro.21,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Outubro.21,26627,24,0, Outubro.21,
KDIF11 - Resumo Mensal do Kinea Infra ref. Outubro.21,32964,126,0, Outubro.21,KDIF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Setembro.21,48252,204,0, Setembro.21,KNRI11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Setembro.21",31694,133,0, Setembro.21,"KNCR11,KNIP11,KNHY11,KNSC11"
KDIF11 - Resumo Mensal do Kinea Infra ref. Setembro.21,36055,73,0, Setembro.21,KDIF11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Setembro.21,431,43,0, Setembro.21,KFOF11
Fundos Multimercados Kinea - Resumo Mensal ref. Setembro.21,35937,105,0, Setembro.21,
Fundos de Ações Kinea - Resumo Mensal ref. Agosto.21,26081,39,0, Agosto.21,
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Agosto.21",50645,142,0, Agosto.21,"KNCR11,KNIP11,KNHY11,KNSC11"
Fundos Renda Fixa Kinea - Resumo Mensal ref. Agosto.21,244,14,0, Agosto.21,
Prev Crédito Privado Kinea - Resumo Mensal ref. Agosto.21,47162,15,0, Agosto.21,
Kinea Oportunidade - Resumo Mensal ref. Agosto.21,174,9,0, Agosto.21,
Kinea Oportunidade - Resumo Mensal ref. Agosto.21,174,9,0, Agosto.21,
KDIF11 - Resumo Mensal do Kinea Infra ref. Agosto.21,34023,94,0, Agosto.21,KDIF11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Agosto.21,410,35,0, Agosto.21,KFOF11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Agosto.21,410,35,0, Agosto.21,KFOF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Agosto.21,73421,254,0, Agosto.21,KNRI11
Fundos Multimercados Kinea - Resumo Mensal ref. Agosto.21,42592,40,0, Agosto.21,
Crédito Privado Kinea - Resumo Mensal ref. Setembro.21,24189,32,0, Setembro.21,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Setembro.21,37762,29,0, Setembro.21,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Julho.21,265,17,0, Julho.21,
Fundos Multimercados Kinea - Resumo Mensal ref. Julho.21,43154,23,0, Julho.21,
Prev Crédito Privado Kinea - Resumo Mensal ref. Julho.21,42898,18,0, Julho.21,
Kinea Oportunidade - Resumo Mensal ref. Julho.21,209,16,0, Julho.21,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Julho.21,323,24,0, Julho.21,KFOF11
Resumo Mensal dos Fundos de Desenvolvimento Imobiliário - Kinea Even II e Even Permuta ref. Julho.21,337,21,0, Julho.21,
Fundos de Ações Kinea - Resumo Mensal ref. Julho.21,46506,23,0, Julho.21,
KNRI11 - Resumo Mensal do Kinea Renda ref. Julho.21,43004,185,0, Julho.21,KNRI11
Prev Crédito Privado Kinea - Resumo Mensal ref. Junho.21,33341,11,0, Junho.21,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Junho.21,43890,33,0, Junho.21,
Fundos Multimercados Kinea - Resumo Mensal ref. Junho.21,64186,46,0, Junho.21,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Junho.21,315,26,0, Junho.21,KFOF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Junho.21,1398,186,0, Junho.21,KNRI11
KDIF11 - Resumo Mensal do Kinea Infra ref. Junho.21,862,57,0, Junho.21,KDIF11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Junho.21",1092,117,0, Junho.21,"KNCR11,KNIP11,KNHY11,KNSC11"
Fundos de Ações Kinea - Resumo Mensal ref. Junho 21,23288,27,0, Junho 21,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Fev.21,173,13,0, Fev.21,
KNRI11 - Resumo Mensal do Kinea Renda ref. Fevereiro 21,1340,197,0, Fevereiro 21,KNRI11
KEVE11 - Resumo Mensal do Kinea Even II ref. Fevereiro 21,209,8,0, Fevereiro 21,KEVE11
KEVE11 - Resumo Mensal do Kinea Even II ref. Fevereiro 21,209,8,0, Fevereiro 21,KEVE11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Fevereiro 21,297,21,0, Fevereiro 21,KFOF11
Fundos de Ações Kinea - Resumo Mensal ref. Fevereiro 21,249,18,0, Fevereiro 21,
Fundos de Ações Kinea - Resumo Mensal ref. Fevereiro 21,249,18,0, Fevereiro 21,
Fundos Multimercados Kinea - Resumo Mensal ref. Fev.21,435,23,0, Fev.21,
KDIF11 - Resumo Mensal do Kinea Infra ref. Fevereiro 21,534,56,0, Fevereiro 21,KDIF11
Kinea Oportunidade - Resumo Mensal ref. Fevereiro 21,155,10,0, Fevereiro 21,
Prev Crédito Privado Kinea - Resumo Mensal ref. Fev.21,102,13,0, Fev.21,
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Fevereiro 21",1029,105,0, Fevereiro 21,"KNCR11,KNIP11,KNHY11,KNSC11"
KINP11 - Resumo Mensal do Kinea Even Permuta ref. Fevereiro 21,690,36,0, Fevereiro 21,KINP11
Kinea Oportunidade - Resumo Mensal ref. Mar.21,170,13,0, Mar.21,
LIVE - Fundos Multimercados Kinea ref. Março 21,281,15,0, Março 21,
KDIF11 - Resumo Mensal do Kinea Infra ref. Mar.21,481,44,0, Mar.21,KDIF11
Fundos de Ações Kinea - Resumo Mensal ref. Mar.21,269,14,0, Mar.21,
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Mar.21",863,88,0, Mar.21,"KNCR11,KNIP11,KNHY11,KNSC11"
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Mar.21,224,27,0, Mar.21,KFOF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Mar.21,1434,207,0, Mar.21,KNRI11
KNRI11 - Resumo Mensal do Kinea Renda ref. Mar.21,1434,207,0, Mar.21,KNRI11
Prev Crédito Privado Kinea - Resumo Mensal ref. Mar.21,131,10,0, Mar.21,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Mar.21,213,9,0, Mar.21,
Fundos Multimercados Kinea - Resumo Mensal ref. Mar.21,251,11,0, Mar.21,
Resumo Mensal dos Fundos de Desenvolvimento Imobiliário - Kinea Even II e Even Permuta ref. Abr.21,370,17,0, Abr.21,
Kinea Oportunidade - Resumo Mensal ref. Abr.21,161,11,0, Abr.21,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Abr.21,359,39,0, Abr.21,KFOF11
Fundos de Ações Kinea - Resumo Mensal ref. Abr.21,298,32,0, Abr.21,
KDIF11 - Resumo Mensal do Kinea Infra ref. Abr.21,1222,76,0, Abr.21,KDIF11
Fundos Renda Fixa Kinea - Resumo Mensal ref. Abr.21,193,10,0, Abr.21,
Prev Crédito Privado Kinea - Resumo Mensal ref. Abr.21,108,9,0, Abr.21,
Fundos Multimercados Kinea - Resumo Mensal ref. Abr.21,315,35,0, Abr.21,
KNRI11 - Resumo Mensal do Kinea Renda ref. Abr.21,1801,210,0, Abr.21,KNRI11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Abr.21",1356,97,0, Abr.21,"KNCR11,KNIP11,KNHY11,KNSC11"
Fundos Multimercados Kinea - Resumo Mensal ref. Maio.21,484,32,0, Maio.21,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Maio.21,480,65,0, Maio.21,KFOF11
Prev Crédito Privado Kinea - Resumo Mensal ref. Maio 21,121,6,0, Maio 21,
Kinea Oportunidade - Resumo Mensal ref. Maio.21,191,19,0, Maio.21,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Maio.21,301,24,0, Maio.21,
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Mai.21",1439,146,0, Mai.21,"KNCR11,KNIP11,KNHY11,KNSC11"
Fundos de Ações Kinea - Resumo Mensal ref. Maio 21,247,24,0, Maio 21,
KNRI11 - Resumo Mensal do Kinea Renda ref. Mai.21,4258,571,0, Mai.21,KNRI11
Fundos Multimercados Kinea - Resumo Mensal ref. Jan.21,530,43,0, Jan.21,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Jan.21,132,10,0, Jan.21,
Prev Crédito Privado Kinea - Resumo Mensal ref. Jan.21,75,9,0, Jan.21,
KDIF11 - Resumo Mensal do Kinea Infra ref. Jan.21,403,33,0, Jan.21,KDIF11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Jan.21,175,20,0, Jan.21,KFOF11
Fundos de Ações Kinea - Resumo Mensal ref. Jan.21,214,23,0, Jan.21,
KNRI11 - Resumo Mensal do Kinea Renda ref. Jan.21,779,145,0, Jan.21,KNRI11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Jan.21",930,90,0, Jan.21,"KNCR11,KNIP11,KNHY11,KNSC11"
KEVE11 - Resumo Mensal do Kinea Even II ref. Jan.21,148,16,0, Jan.21,KEVE11
KINP11 - Resumo Mensal do Kinea Even Permuta ref. Jan.21,313,26,0, Jan.21,KINP11
KNSC11 - Atualização Inicial do Kinea Securities ref.Dez/20,587,63,0,Dez/20,KNSC11
Fundos de Ações Kinea - Resumo Mensal ref. Dez.20,229,28,0, Dez.20,
Fundos Multimercados Kinea - Resumo Mensal ref. Dez.20,370,32,0, Dez.20,
Prev Crédito Privado Kinea - Resumo Mensal ref. Dez.20,150,18,0, Dez.20,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Dez.20,143,10,0, Dez.20,
KNHY11 - Resumo mensal do Kinea High Yield ref. Dez.20,395,34,0, Dez.20,KNHY11
KNCR11 - Resumo mensal do Kinea Rendimentos ref. Dez.20,550,66,0, Dez.20,KNCR11
KDIF11 - Resumo Mensal do Kinea Infra ref. Dez.20,337,27,0, Dez.20,KDIF11
KNIP11 - Resumo mensal do Kinea Índices de Preços ref. Dez.20,1015,91,0, Dez.20,KNIP11
KNRI11 - Resumo Mensal do Kinea Renda ref. Dez.20,809,160,0, Dez.20,KNRI11
KEVE11 - Resumo Mensal do Kinea Even II ref. Nov.20,110,11,0, Nov.20,KEVE11
KINP11 - Resumo Mensal do Kinea Even Permuta ref. Dez.20,292,23,0, Dez.20,KINP11
